transaction_id,customer_id,product_id,product_name,category,quantity,unit_price,total_amount,transaction_date,store_location,payment_method
TXN001,CUST001,PROD001,Wireless Headphones,Electronics,2,79.99,159.98,2024-01-15,New York,Credit Card
TXN002,CUST002,PROD002,Running Shoes,Sports,1,129.99,129.99,2024-01-15,Los Angeles,Debit Card
TXN003,CUST003,PROD003,Coffee Maker,Home & Kitchen,1,89.99,89.99,2024-01-16,Chicago,Cash
TXN004,CUST001,PROD004,Yoga Mat,Sports,1,29.99,29.99,2024-01-16,New York,Credit Card
TXN005,CUST004,PROD001,Wireless Headphones,Electronics,1,79.99,79.99,2024-01-17,Miami,Credit Card
TXN006,CUST005,PROD005,Smartphone Case,Electronics,3,19.99,59.97,2024-01-17,Seattle,PayPal
TXN007,CUST002,PROD006,Protein Powder,Health,2,39.99,79.98,2024-01-18,Los Angeles,Credit Card
TXN008,CUST006,PROD007,Desk Lamp,Home & Kitchen,1,45.99,45.99,2024-01-18,Boston,Debit Card
TXN009,CUST007,PROD008,Gaming Mouse,Electronics,1,69.99,69.99,2024-01-19,Austin,Credit Card
TXN010,CUST003,PROD009,Water Bottle,Sports,2,24.99,49.98,2024-01-19,Chicago,Cash
TXN011,CUST008,PROD010,Bluetooth Speaker,Electronics,1,99.99,99.99,2024-01-20,Denver,Credit Card
TXN012,CUST009,PROD002,Running Shoes,Sports,1,129.99,129.99,2024-01-20,Portland,Debit Card
TXN013,CUST010,PROD011,Kitchen Scale,Home & Kitchen,1,34.99,34.99,2024-01-21,Phoenix,Credit Card
TXN014,CUST004,PROD012,Fitness Tracker,Electronics,1,149.99,149.99,2024-01-21,Miami,PayPal
TXN015,CUST011,PROD013,Cooking Pan,Home & Kitchen,1,79.99,79.99,2024-01-22,San Francisco,Credit Card
